
> frontend@0.0.0 dev
> vite


  VITE v6.2.0  ready in 164 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
3:44:16 PM [vite] (client) hmr update /src/components/MenuBar.tsx
3:45:21 PM [vite] (client) hmr update /src/App.tsx
3:46:51 PM [vite] (client) hmr update /src/App.tsx
3:48:02 PM [vite] (client) hmr update /src/App.tsx
3:48:48 PM [vite] (client) hmr update /src/App.tsx
3:49:00 PM [vite] (client) hmr update /src/App.tsx
3:50:21 PM [vite] (client) hmr update /src/App.tsx
3:50:40 PM [vite] (client) hmr update /src/App.tsx
3:51:21 PM [vite] (client) hmr update /src/App.tsx
3:51:56 PM [vite] (client) hmr update /src/App.tsx
3:51:57 PM [vite] (client) hmr update /src/components/controls/SpeedControl.css
3:52:00 PM [vite] (client) hmr update /src/components/Canvas.tsx
3:53:36 PM [vite] (client) hmr update /src/App.tsx
3:56:31 PM [vite] (client) hmr update /src/components/MenuBar.tsx
3:57:58 PM [vite] (client) hmr update /src/index.css
3:59:18 PM [vite] (client) hmr update /src/index.css
3:59:28 PM [vite] (client) hmr update /src/index.css
4:01:33 PM [vite] (client) hmr update /src/index.css
4:02:00 PM [vite] (client) hmr update /src/App.tsx
4:06:32 PM [vite] (client) hmr update /src/App.tsx
4:06:38 PM [vite] (client) hmr update /src/App.tsx
4:06:43 PM [vite] (client) hmr update /src/App.tsx
4:09:46 PM [vite] (client) hmr update /src/App.tsx
4:10:06 PM [vite] (client) hmr update /src/App.tsx
4:10:41 PM [vite] (client) hmr update /src/App.tsx
4:11:07 PM [vite] (client) hmr update /src/App.tsx
4:12:38 PM [vite] (client) hmr update /src/App.tsx
4:12:56 PM [vite] (client) hmr update /src/App.tsx
4:14:28 PM [vite] (client) hmr update /src/App.tsx
4:14:52 PM [vite] (client) hmr update /src/App.tsx
4:18:38 PM [vite] (client) hmr update /src/App.tsx
4:19:12 PM [vite] (client) hmr update /src/App.tsx
4:19:36 PM [vite] (client) hmr update /src/App.tsx
4:26:19 PM [vite] (client) hmr update /src/App.tsx
4:29:51 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:30:11 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:31:08 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:31:34 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:31:49 PM [vite] (client) hmr update /src/App.tsx
4:33:15 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:35:38 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:37:31 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:37:51 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:38:06 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:38:35 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:38:38 PM [vite] (client) hmr update /src/App.tsx
4:38:41 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:39:52 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:40:11 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:40:30 PM [vite] (client) hmr update /src/components/elements/AnimatedToken.tsx
4:40:59 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:44:18 PM [vite] (client) hmr update /src/components/elements/TokenAnimations.tsx
4:46:20 PM [vite] (client) hmr update /src/App.tsx
4:46:34 PM [vite] (client) hmr update /src/App.tsx
4:46:47 PM [vite] (client) hmr update /src/App.tsx
4:47:30 PM [vite] (client) hmr update /src/App.tsx
4:47:45 PM [vite] (client) hmr update /src/App.tsx
4:48:05 PM [vite] (client) hmr update /src/App.tsx
4:48:20 PM [vite] (client) hmr update /src/App.tsx
4:49:48 PM [vite] (client) hmr update /src/App.tsx
4:49:50 PM [vite] (client) hmr update /src/App.tsx
4:50:47 PM [vite] (client) hmr update /src/App.tsx
4:51:20 PM [vite] (client) hmr update /src/App.tsx
4:51:42 PM [vite] (client) hmr update /src/App.tsx
4:51:58 PM [vite] (client) hmr update /src/App.tsx
4:52:22 PM [vite] (client) hmr update /src/App.tsx
4:52:31 PM [vite] (client) hmr update /src/App.tsx
4:55:17 PM [vite] (client) hmr update /src/components/controls/SpeedControl.tsx
4:55:31 PM [vite] (client) hmr update /src/components/controls/SpeedControl.tsx
4:55:43 PM [vite] (client) hmr update /src/components/controls/SpeedControl.tsx
4:56:06 PM [vite] (client) hmr update /src/components/controls/SpeedControl.tsx
4:56:08 PM [vite] (client) hmr update /src/App.tsx
5:33:51 PM [vite] (client) hmr update /src/components/TabbedPanel.tsx
5:34:08 PM [vite] (client) hmr update /src/components/ValidatorTool.tsx
5:35:27 PM [vite] (client) hmr update /src/components/ValidatorTool.tsx
